inside_temp,seat_heater_rear_right_back,fan_status,is_preconditioning,seat_heater_left,seat_heater_rear_right,is_front_defroster_on,min_avail_temp,is_rear_defroster_on,battery_heater,max_avail_temp,passenger_temp_setting,side_mirror_heaters,battery_heater_no_power,right_temp_direction,driver_temp_setting,seat_heater_right,left_temp_direction,timestamp,seat_heater_rear_center,wiper_blade_heater,is_auto_conditioning_on,seat_heater_rear_left,smart_preconditioning,is_climate_on,seat_heater_rear_left_back,steering_wheel_heater,outside_temp
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-51,23.9,False,-53,1536195831855,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-50,23.9,False,-49,1536196102741,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-35,23.9,False,-41,1536196288663,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-35,23.9,False,-37,1536196475026,False,False,True,False,False,True,0,False,22.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-41,23.9,False,-33,1536196661550,False,False,True,False,False,True,0,False,22.0
24.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536196847876,False,False,False,False,False,False,0,False,22.0
24.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536196986383,False,False,False,False,False,False,0,False,22.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-72,23.9,False,-44,1536197034810,False,False,True,False,False,True,0,False,22.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-15,23.9,False,-15,1536197221739,False,False,True,False,False,True,0,False,22.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,2,23.9,False,-1,1536197407864,False,False,True,False,False,True,0,False,21.5
24.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536197594108,False,False,False,False,False,False,0,False,21.5
24.1,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536197780512,False,False,False,False,False,False,0,False,21.5
24.1,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536197892146,False,False,False,False,False,False,0,False,21.5
24.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536197967358,False,False,False,False,False,False,0,False,21.5
26.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198154080,False,False,False,False,False,False,0,False,21.5
26.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198340663,False,False,False,False,False,False,0,False,21.5
26.3,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198526419,False,False,False,False,False,False,0,False,21.5
26.1,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198712778,False,False,False,False,False,False,0,False,21.5
26.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198797700,False,False,False,False,False,False,0,False,21.5
25.9,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536198899439,False,False,False,False,False,False,0,False,21.5
25.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536199087188,False,False,False,False,False,False,0,False,21.5
25.6,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536199277806,False,False,False,False,False,False,0,False,21.5
25.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536199464140,False,False,False,False,False,False,0,False,21.5
24.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536199651414,False,False,False,False,False,False,0,False,21.5
24.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536199702223,False,False,False,False,False,False,0,False,21.5
25.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536199837513,False,False,False,False,False,False,0,False,22.0
25.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200027928,False,False,False,False,False,False,0,False,23.0
29.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200214186,False,False,False,False,False,False,0,False,22.5
30.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200401506,False,False,False,False,False,False,0,False,21.0
27.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200588686,False,False,False,False,False,False,0,False,22.0
26.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200607838,False,False,False,False,False,False,0,False,22.0
25.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200774662,False,False,False,False,False,False,0,False,22.5
24.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536200960972,False,False,False,False,False,False,0,False,23.0
24.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201148073,False,False,False,False,False,False,0,False,23.0
24.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201335961,False,False,False,False,False,False,0,False,23.5
29.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201512940,False,False,False,False,False,False,0,False,23.5
29.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201521586,False,False,False,False,False,False,0,False,24.0
30.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201708588,False,False,False,False,False,False,0,False,24.0
30.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536201895331,False,False,False,False,False,False,0,False,24.5
30.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202082349,False,False,False,False,False,False,0,False,24.5
30.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202268646,False,False,False,False,False,False,0,False,24.5
30.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202417956,False,False,False,False,False,False,0,False,25.0
30.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202469910,False,False,False,False,False,False,0,False,25.0
